MICROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Micropolitan statistical areas defined by the Office of Management and Budget, November 2007)
31860   27103      Nicollet County, MN

31940           Marinette, WI-MI Micropolitan Statistical Area
31940   26109      Menominee County, MI
31940   55075      Marinette County, WI

31980           Marion, IN Micropolitan Statistical Area
31980   18053      Grant County, IN

32020           Marion, OH Micropolitan Statistical Area
32020   39101      Marion County, OH

32060           Marion-Herrin, IL Micropolitan Statistical Area
32060   17199      Williamson County, IL

32100           Marquette, MI Micropolitan Statistical Area
32100   26103      Marquette County, MI

32140           Marshall, MN Micropolitan Statistical Area
32140   27083      Lyon County, MN

32180           Marshall, MO Micropolitan Statistical Area
32180   29195      Saline County, MO

32220           Marshall, TX Micropolitan Statistical Area
32220   48203      Harrison County, TX

32260           Marshalltown, IA Micropolitan Statistical Area
32260   19127      Marshall County, IA

32270           Marshfield-Wisconsin Rapids, WI Micropolitan Statistical Area
32270   55141      Wood County, WI

32280           Martin, TN Micropolitan Statistical Area
32280   47183      Weakley County, TN

32300           Martinsville, VA Micropolitan Statistical Area
32300   51089      Henry County, VA
32300   51690      Martinsville city, VA

32340           Maryville, MO Micropolitan Statistical Area
32340   29147      Nodaway County, MO

32380           Mason City, IA Micropolitan Statistical Area
32380   19033      Cerro Gordo County, IA
32380   19195      Worth County, IA

32460           Mayfield, KY Micropolitan Statistical Area
32460   21083      Graves County, KY

32500           Maysville, KY Micropolitan Statistical Area
32500   21135      Lewis County, KY
32500   21161      Mason County, KY

32540           McAlester, OK Micropolitan Statistical Area
32540   40121      Pittsburg County, OK

32620           McComb, MS Micropolitan Statistical Area
32620   28005      Amite County, MS
32620   28113      Pike County, MS

32660           McMinnville, TN Micropolitan Statistical Area
32660   47177      Warren County, TN

32700           McPherson, KS Micropolitan Statistical Area
32700   20113      McPherson County, KS

32740           Meadville, PA Micropolitan Statistical Area
32740   42039      Crawford County, PA

32860           Menomonie, WI Micropolitan Statistical Area
32860   55033      Dunn County, WI

32940           Meridian, MS Micropolitan Statistical Area
32940   28023      Clarke County, MS
32940   28069      Kemper County, MS
32940   28075      Lauderdale County, MS

32980           Merrill, WI Micropolitan Statistical Area
32980   55069      Lincoln County, WI

33020           Mexico, MO Micropolitan Statistical Area
33020   29007      Audrain County, MO

33060           Miami, OK Micropolitan Statistical Area
33060   40115      Ottawa County, OK

33180           Middlesborough, KY Micropolitan Statistical Area
33180   21013      Bell County, KY

33220           Midland, MI Micropolitan Statistical Area
33220   26111      Midland County, MI

33300           Milledgeville, GA Micropolitan Statistical Area
33300   13009      Baldwin County, GA
33300   13141      Hancock County, GA

33380           Minden, LA Micropolitan Statistical Area
33380   22119      Webster Parish, LA

33420           Mineral Wells, TX Micropolitan Statistical Area
33420   48363      Palo Pinto County, TX

33500           Minot, ND Micropolitan Statistical Area
33500   38049      McHenry County, ND
33500   38075      Renville County, ND
33500   38101      Ward County, ND

33580           Mitchell, SD Micropolitan Statistical Area
33580   46035      Davison County, SD
33580   46061      Hanson County, SD

33620           Moberly, MO Micropolitan Statistical Area
33620   29175      Randolph County, MO

33820           Monroe, WI Micropolitan Statistical Area
33820   55045      Green County, WI

33940           Montrose, CO Micropolitan Statistical Area
33940   08085      Montrose County, CO

33980           Morehead City, NC Micropolitan Statistical Area
33980   37031      Carteret County, NC

34020           Morgan City, LA Micropolitan Statistical Area
34020   22101      St. Mary Parish, LA

34140           Moscow, ID Micropolitan Statistical Area
34140   16057      Latah County, ID

34180           Moses Lake, WA Micropolitan Statistical Area
34180   53025      Grant County, WA

34220           Moultrie, GA Micropolitan Statistical Area
34220   13071      Colquitt County, GA

34260           Mountain Home, AR Micropolitan Statistical Area
34260   05005      Baxter County, AR

34300           Mountain Home, ID Micropolitan Statistical Area
34300   16039      Elmore County, ID

34340           Mount Airy, NC Micropolitan Statistical Area
34340   37171      Surry County, NC

34380           Mount Pleasant, MI Micropolitan Statistical Area
34380   26073      Isabella County, MI

34420           Mount Pleasant, TX Micropolitan Statistical Area
34420   48449      Titus County, TX

34460           Mount Sterling, KY Micropolitan Statistical Area
34460   21011      Bath County, KY
34460   21165      Menifee County, KY
34460   21173      Montgomery County, KY

34500           Mount Vernon, IL Micropolitan Statistical Area
34500   17065      Hamilton County, IL
34500   17081      Jefferson County, IL

34540           Mount Vernon, OH Micropolitan Statistical Area
34540   39083      Knox County, OH

34660           Murray, KY Micropolitan Statistical Area
34660   21035      Calloway County, KY

34700           Muscatine, IA Micropolitan Statistical Area
34700   19115      Louisa County, IA
34700   19139      Muscatine County, IA

34780           Muskogee, OK Micropolitan Statistical Area
34780   40101      Muskogee County, OK

34860           Nacogdoches, TX Micropolitan Statistical Area
34860   48347      Nacogdoches County, TX

35020           Natchez, MS-LA Micropolitan Statistical Area
35020   22029      Concordia Parish, LA
35020   28001      Adams County, MS

35060           Natchitoches, LA Micropolitan Statistical Area
35060   22069      Natchitoches Parish, LA

35100           New Bern, NC Micropolitan Statistical Area
35100   37049      Craven County, NC
35100   37103      Jones County, NC
35100   37137      Pamlico County, NC

35140           Newberry, SC Micropolitan Statistical Area
35140   45071      Newberry County, SC

35220           New Castle, IN Micropolitan Statistical Area
35220   18065      Henry County, IN

35260           New Castle, PA Micropolitan Statistical Area
35260   42073      Lawrence County, PA

35340           New Iberia, LA Micropolitan Statistical Area
35340   22045      Iberia Parish, LA

35420           New Philadelphia-Dover, OH Micropolitan Statistical Area
35420   39157      Tuscarawas County, OH

35460           Newport, TN Micropolitan Statistical Area
35460   47029      Cocke County, TN

35500           Newton, IA Micropolitan Statistical Area
35500   19099      Jasper County, IA

35580           New Ulm, MN Micropolitan Statistical Area
35580   27015      Brown County, MN

35700           Nogales, AZ Micropolitan Statistical Area
35700   04023      Santa Cruz County, AZ

35740           Norfolk, NE Micropolitan Statistical Area
35740   31119      Madison County, NE
35740   31139      Pierce County, NE
35740   31167      Stanton County, NE

35820           North Platte, NE Micropolitan Statistical Area
35820   31111      Lincoln County, NE
35820   31113      Logan County, NE
35820   31117      McPherson County, NE

35860           North Vernon, IN Micropolitan Statistical Area
35860   18079      Jennings County, IN

35900           North Wilkesboro, NC Micropolitan Statistical Area
35900   37193      Wilkes County, NC

35940           Norwalk, OH Micropolitan Statistical Area
35940   39077      Huron County, OH

36020           Oak Harbor, WA Micropolitan Statistical Area
36020   53029      Island County, WA

36060           Oak Hill, WV Micropolitan Statistical Area
36060   54019      Fayette County, WV

36180           Ocean Pines, MD Micropolitan Statistical Area
36180   24047      Worcester County, MD

36300           Ogdensburg-Massena, NY Micropolitan Statistical Area
36300   36089      St. Lawrence County, NY

36340           Oil City, PA Micropolitan Statistical Area
36340   42121      Venango County, PA

36380           Okeechobee, FL Micropolitan Statistical Area
36380   12093      Okeechobee County, FL

36460           Olean, NY Micropolitan Statistical Area
36460   36009      Cattaraugus County, NY

36580           Oneonta, NY Micropolitan Statistical Area
36580   36077      Otsego County, NY

36620           Ontario, OR-ID Micropolitan Statistical Area
36620   16075      Payette County, ID
36620   41045      Malheur County, OR

36660           Opelousas-Eunice, LA Micropolitan Statistical Area
36660   22097      St. Landry Parish, LA

36700           Orangeburg, SC Micropolitan Statistical Area
36700   45075      Orangeburg County, SC

36820           Oskaloosa, IA Micropolitan Statistical Area
36820   19123      Mahaska County, IA

36860           Ottawa-Streator, IL Micropolitan Statistical Area
36860   17011      Bureau County, IL
36860   17099      La Salle County, IL
36860   17155      Putnam County, IL

36900           Ottumwa, IA Micropolitan Statistical Area
36900   19179      Wapello County, IA

36940           Owatonna, MN Micropolitan Statistical Area
36940   27147      Steele County, MN

37020           Owosso, MI Micropolitan Statistical Area
37020   26155      Shiawassee County, MI

37060           Oxford, MS Micropolitan Statistical Area
37060   28071      Lafayette County, MS

37140           Paducah, KY-IL Micropolitan Statistical Area
37140   17127      Massac County, IL
37140   21007      Ballard County, KY
37140   21139      Livingston County, KY
37140   21145      McCracken County, KY

37220           Pahrump, NV Micropolitan Statistical Area
37220   32023      Nye County, NV

37260           Palatka, FL Micropolitan Statistical Area
37260   12107      Putnam County, FL

37300           Palestine, TX Micropolitan Statistical Area
37300   48001      Anderson County, TX

37420           Pampa, TX Micropolitan Statistical Area
37420   48179      Gray County, TX
37420   48393      Roberts County, TX

37500           Paragould, AR Micropolitan Statistical Area
37500   05055      Greene County, AR

37540           Paris, TN Micropolitan Statistical Area
37540   47079      Henry County, TN

37580           Paris, TX Micropolitan Statistical Area
37580   48277      Lamar County, TX

37660           Parsons, KS Micropolitan Statistical Area
37660   20099      Labette County, KS

37740           Payson, AZ Micropolitan Statistical Area
37740   04007      Gila County, AZ

37780           Pecos, TX Micropolitan Statistical Area
37780   48389      Reeves County, TX

37800           Pella, IA Micropolitan Statistical Area
37800   19125      Marion County, IA

37820           Pendleton-Hermiston, OR Micropolitan Statistical Area
37820   41049      Morrow County, OR
37820   41059      Umatilla County, OR

37940           Peru, IN Micropolitan Statistical Area
37940   18103      Miami County, IN

38020           Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area
38020   06109      Tuolumne County, CA

38100           Picayune, MS Micropolitan Statistical Area
38100   28109      Pearl River County, MS

38180           Pierre, SD Micropolitan Statistical Area
38180   46065      Hughes County, SD
38180   46117      Stanley County, SD

38200           Pierre Part, LA Micropolitan Statistical Area
38200   22007      Assumption Parish, LA

38260           Pittsburg, KS Micropolitan Statistical Area
38260   20037      Crawford County, KS

38380           Plainview, TX Micropolitan Statistical Area
38380   48189      Hale County, TX

38420           Platteville, WI Micropolitan Statistical Area
38420   55043      Grant County, WI

38460           Plattsburgh, NY Micropolitan Statistical Area
38460   36019      Clinton County, NY

38500           Plymouth, IN Micropolitan Statistical Area
38500   18099      Marshall County, IN

38580           Point Pleasant, WV-OH Micropolitan Statistical Area
38580   39053      Gallia County, OH
38580   54053      Mason County, WV

38620           Ponca City, OK Micropolitan Statistical Area
38620   40071      Kay County, OK

38700           Pontiac, IL Micropolitan Statistical Area
38700   17105      Livingston County, IL

38740           Poplar Bluff, MO Micropolitan Statistical Area
38740   29023      Butler County, MO

38780           Portales, NM Micropolitan Statistical Area
38780   35041      Roosevelt County, NM

38820           Port Angeles, WA Micropolitan Statistical Area
38820   53009      Clallam County, WA

39020           Portsmouth, OH Micropolitan Statistical Area
39020   39145      Scioto County, OH

39060           Pottsville, PA Micropolitan Statistical Area
39060   42107      Schuylkill County, PA

39220           Price, UT Micropolitan Statistical Area
39220   49007      Carbon County, UT

39260           Prineville, OR Micropolitan Statistical Area
39260   41013      Crook County, OR

39420           Pullman, WA Micropolitan Statistical Area
39420   53075      Whitman County, WA

39500           Quincy, IL-MO Micropolitan Statistical Area
39500   17001      Adams County, IL
39500   29111      Lewis County, MO

39700           Raymondville, TX Micropolitan Statistical Area
39700   48489      Willacy County, TX

39780           Red Bluff, CA Micropolitan Statistical Area
39780   06103      Tehama County, CA

39860           Red Wing, MN Micropolitan Statistical Area
39860   27049      Goodhue County, MN

39940           Rexburg, ID Micropolitan Statistical Area
39940   16043      Fremont County, ID
39940   16065      Madison County, ID

39980           Richmond, IN Micropolitan Statistical Area
39980   18177      Wayne County, IN

40080           Richmond-Berea, KY Micropolitan Statistical Area
40080   21151      Madison County, KY
40080   21203      Rockcastle County, KY

40100           Rio Grande City-Roma, TX Micropolitan Statistical Area
40100   48427      Starr County, TX

40180           Riverton, WY Micropolitan Statistical Area
40180   56013      Fremont County, WY

40260           Roanoke Rapids, NC Micropolitan Statistical Area
40260   37083      Halifax County, NC
40260   37131      Northampton County, NC

40300           Rochelle, IL Micropolitan Statistical Area
40300   17141      Ogle County, IL

40460           Rockingham, NC Micropolitan Statistical Area
40460   37153      Richmond County, NC

40500           Rockland, ME Micropolitan Statistical Area
40500   23013      Knox County, ME

40540           Rock Springs, WY Micropolitan Statistical Area
40540   56037      Sweetwater County, WY

40620           Rolla, MO Micropolitan Statistical Area
40620   29161      Phelps County, MO

40700           Roseburg, OR Micropolitan Statistical Area
40700   41019      Douglas County, OR

40740           Roswell, NM Micropolitan Statistical Area
40740   35005      Chaves County, NM

40760           Ruidoso, NM Micropolitan Statistical Area
40760   35027      Lincoln County, NM

40780           Russellville, AR Micropolitan Statistical Area
40780   05115      Pope County, AR
40780   05149      Yell County, AR

40820           Ruston, LA Micropolitan Statistical Area
40820   22049      Jackson Parish, LA
40820   22061      Lincoln Parish, LA

40860           Rutland, VT Micropolitan Statistical Area
40860   50021      Rutland County, VT

40940           Safford, AZ Micropolitan Statistical Area
40940   04009      Graham County, AZ
40940   04011      Greenlee County, AZ

41220           St. Marys, GA Micropolitan Statistical Area
41220   13039      Camden County, GA

41260           St. Marys, PA Micropolitan Statistical Area
41260   42047      Elk County, PA

41460           Salina, KS Micropolitan Statistical Area
41460   20143      Ottawa County, KS
41460   20169      Saline County, KS

41580           Salisbury, NC Micropolitan Statistical Area
41580   37159      Rowan County, NC

41820           Sanford, NC Micropolitan Statistical Area
41820   37105      Lee County, NC

42180           Santa Isabel, PR Micropolitan Statistical Area
42180   72133      Santa Isabel Municipio, PR

42300           Sault Ste. Marie, MI Micropolitan Statistical Area
42300   26033      Chippewa County, MI

42380           Sayre, PA Micropolitan Statistical Area
42380   42015      Bradford County, PA

42420           Scottsbluff, NE Micropolitan Statistical Area
42420   31007      Banner County, NE
42420   31157      Scotts Bluff County, NE

42460           Scottsboro, AL Micropolitan Statistical Area
42460   01071      Jackson County, AL

42500           Scottsburg, IN Micropolitan Statistical Area
42500   18143      Scott County, IN

42580           Seaford, DE Micropolitan Statistical Area
42580   10005      Sussex County, DE

42620           Searcy, AR Micropolitan Statistical Area
42620   05145      White County, AR

42700           Sebring, FL Micropolitan Statistical Area
42700   12055      Highlands County, FL

42740           Sedalia, MO Micropolitan Statistical Area
42740   29159      Pettis County, MO

42780           Selinsgrove, PA Micropolitan Statistical Area
42780   42109      Snyder County, PA

42820           Selma, AL Micropolitan Statistical Area
42820   01047      Dallas County, AL

42860           Seneca, SC Micropolitan Statistical Area
42860   45073      Oconee County, SC

42900           Seneca Falls, NY Micropolitan Statistical Area
42900   36099      Seneca County, NY

42940           Sevierville, TN Micropolitan Statistical Area
42940   47155      Sevier County, TN

42980           Seymour, IN Micropolitan Statistical Area
42980   18071      Jackson County, IN

43060           Shawnee, OK Micropolitan Statistical Area
43060   40125      Pottawatomie County, OK

43140           Shelby, NC Micropolitan Statistical Area
43140   37045      Cleveland County, NC

43180           Shelbyville, TN Micropolitan Statistical Area
43180   47003      Bedford County, TN

43220           Shelton, WA Micropolitan Statistical Area
43220   53045      Mason County, WA

43260           Sheridan, WY Micropolitan Statistical Area
43260   56033      Sheridan County, WY

43320           Show Low, AZ Micropolitan Statistical Area
43320   04017      Navajo County, AZ

43380           Sidney, OH Micropolitan Statistical Area
43380   39149      Shelby County, OH

43420           Sierra Vista-Douglas, AZ Micropolitan Statistical Area
43420   04003      Cochise County, AZ

43460           Sikeston, MO Micropolitan Statistical Area
43460   29201      Scott County, MO

43500           Silver City, NM Micropolitan Statistical Area
43500   35017      Grant County, NM

43540           Silverthorne, CO Micropolitan Statistical Area
43540   08117      Summit County, CO

43660           Snyder, TX Micropolitan Statistical Area
43660   48415      Scurry County, TX

43700           Somerset, KY Micropolitan Statistical Area
43700   21199      Pulaski County, KY

43740           Somerset, PA Micropolitan Statistical Area
43740   42111      Somerset County, PA

43860           Southern Pines-Pinehurst, NC Micropolitan Statistical Area
43860   37125      Moore County, NC

43940           Spearfish, SD Micropolitan Statistical Area
43940   46081      Lawrence County, SD

43980           Spencer, IA Micropolitan Statistical Area
43980   19041      Clay County, IA

44020           Spirit Lake, IA Micropolitan Statistical Area
44020   19059      Dickinson County, IA

44260           Starkville, MS Micropolitan Statistical Area
44260   28105      Oktibbeha County, MS

44340           Statesboro, GA Micropolitan Statistical Area
44340   13031      Bulloch County, GA

44380           Statesville-Mooresville, NC Micropolitan Statistical Area
44380   37097      Iredell County, NC

44420           Staunton-Waynesboro, VA Micropolitan Statistical Area
44420   51015      Augusta County, VA
44420   51790      Staunton city, VA
44420   51820      Waynesboro city, VA

44500           Stephenville, TX Micropolitan Statistical Area
44500   48143      Erath County, TX

44540           Sterling, CO Micropolitan Statistical Area
44540   08075      Logan County, CO

44580           Sterling, IL Micropolitan Statistical Area
44580   17195      Whiteside County, IL

44620           Stevens Point, WI Micropolitan Statistical Area
44620   55097      Portage County, WI

44660           Stillwater, OK Micropolitan Statistical Area
44660   40119      Payne County, OK

44740           Storm Lake, IA Micropolitan Statistical Area
44740   19021      Buena Vista County, IA

44780           Sturgis, MI Micropolitan Statistical Area
44780   26149      St. Joseph County, MI

44860           Sulphur Springs, TX Micropolitan Statistical Area
44860   48223      Hopkins County, TX

44900           Summerville, GA Micropolitan Statistical Area
44900   13055      Chattooga County, GA

44980           Sunbury, PA Micropolitan Statistical Area
44980   42097      Northumberland County, PA

45000           Susanville, CA Micropolitan Statistical Area
45000   06035      Lassen County, CA

45020           Sweetwater, TX Micropolitan Statistical Area
45020   48353      Nolan County, TX

45140           Tahlequah, OK Micropolitan Statistical Area
45140   40021      Cherokee County, OK

45180           Talladega-Sylacauga, AL Micropolitan Statistical Area
45180   01121      Talladega County, AL

45260           Tallulah, LA Micropolitan Statistical Area
45260   22065      Madison Parish, LA

45340           Taos, NM Micropolitan Statistical Area
45340   35055      Taos County, NM

45380           Taylorville, IL Micropolitan Statistical Area
45380   17021      Christian County, IL

45540           The Villages, FL Micropolitan Statistical Area
45540   12119      Sumter County, FL

45580           Thomaston, GA Micropolitan Statistical Area
45580   13293      Upson County, GA

45620           Thomasville, GA Micropolitan Statistical Area
45620   13275      Thomas County, GA

45640           Thomasville-Lexington, NC Micropolitan Statistical Area
45640   37057      Davidson County, NC

45660           Tiffin, OH Micropolitan Statistical Area
45660   39147      Seneca County, OH

45700           Tifton, GA Micropolitan Statistical Area
45700   13277      Tift County, GA

45740           Toccoa, GA Micropolitan Statistical Area
45740   13257      Stephens County, GA

45860           Torrington, CT Micropolitan Statistical Area
45860   09005      Litchfield County, CT

45900           Traverse City, MI Micropolitan Statistical Area
45900   26019      Benzie County, MI
45900   26055      Grand Traverse County, MI
45900   26079      Kalkaska County, MI
45900   26089      Leelanau County, MI

45980           Troy, AL Micropolitan Statistical Area
45980   01109      Pike County, AL

46020           Truckee-Grass Valley, CA Micropolitan Statistical Area
46020   06057      Nevada County, CA

46100           Tullahoma, TN Micropolitan Statistical Area
46100   47031      Coffee County, TN
46100   47051      Franklin County, TN
46100   47127      Moore County, TN

46180           Tupelo, MS Micropolitan Statistical Area
46180   28057      Itawamba County, MS
46180   28081      Lee County, MS
46180   28115      Pontotoc County, MS

46260           Tuskegee, AL Micropolitan Statistical Area
46260   01087      Macon County, AL

46300           Twin Falls, ID Micropolitan Statistical Area
46300   16053      Jerome County, ID
46300   16083      Twin Falls County, ID

46380           Ukiah, CA Micropolitan Statistical Area
46380   06045      Mendocino County, CA

46420           Union, SC Micropolitan Statistical Area
46420   45087      Union County, SC

46460           Union City, TN-KY Micropolitan Statistical Area
46460   21075      Fulton County, KY
46460   47131      Obion County, TN

46500           Urbana, OH Micropolitan Statistical Area
46500   39021      Champaign County, OH

46580           Utuado, PR Micropolitan Statistical Area
46580   72141      Utuado Municipio, PR

46620           Uvalde, TX Micropolitan Statistical Area
46620   48463      Uvalde County, TX

46740           Valley, AL Micropolitan Statistical Area
46740   01017      Chambers County, AL

46780           Van Wert, OH Micropolitan Statistical Area
46780   39161      Van Wert County, OH

46820           Vermillion, SD Micropolitan Statistical Area
46820   46027      Clay County, SD

46860           Vernal, UT Micropolitan Statistical Area
46860   49047      Uintah County, UT

46900           Vernon, TX Micropolitan Statistical Area
46900   48487      Wilbarger County, TX

46980           Vicksburg, MS Micropolitan Statistical Area
46980   28149      Warren County, MS

47080           Vidalia, GA Micropolitan Statistical Area
47080   13209      Montgomery County, GA
47080   13279      Toombs County, GA

47180           Vincennes, IN Micropolitan Statistical Area
47180   18083      Knox County, IN

47340           Wabash, IN Micropolitan Statistical Area
47340   18169      Wabash County, IN

47420           Wahpeton, ND-MN Micropolitan Statistical Area
47420   27167      Wilkin County, MN
47420   38077      Richland County, ND

47460           Walla Walla, WA Micropolitan Statistical Area
47460   53071      Walla Walla County, WA

47500           Walterboro, SC Micropolitan Statistical Area
47500   45029      Colleton County, SC

47540           Wapakoneta, OH Micropolitan Statistical Area
47540   39011      Auglaize County, OH

47620           Warren, PA Micropolitan Statistical Area
47620   42123      Warren County, PA

47660           Warrensburg, MO Micropolitan Statistical Area
47660   29101      Johnson County, MO

47700           Warsaw, IN Micropolitan Statistical Area
47700   18085      Kosciusko County, IN

47780           Washington, IN Micropolitan Statistical Area
47780   18027      Daviess County, IN

47820           Washington, NC Micropolitan Statistical Area
47820   37013      Beaufort County, NC

47920           Washington Court House, OH Micropolitan Statistical Area
47920   39047      Fayette County, OH

47980           Watertown, SD Micropolitan Statistical Area
47980   46029      Codington County, SD
47980   46057      Hamlin County, SD

48020           Watertown-Fort Atkinson, WI Micropolitan Statistical Area
48020   55055      Jefferson County, WI

48060           Watertown-Fort Drum, NY Micropolitan Statistical Area
48060   36045      Jefferson County, NY

48100           Wauchula, FL Micropolitan Statistical Area
48100   12049      Hardee County, FL

48180           Waycross, GA Micropolitan Statistical Area
48180   13229      Pierce County, GA
48180   13299      Ware County, GA

48460           West Plains, MO Micropolitan Statistical Area
48460   29091      Howell County, MO

48500           West Point, MS Micropolitan Statistical Area
48500   28025      Clay County, MS

48580           Whitewater, WI Micropolitan Statistical Area
48580   55127      Walworth County, WI

48740           Willimantic, CT Micropolitan Statistical Area
48740   09015      Windham County, CT

48780           Williston, ND Micropolitan Statistical Area
48780   38105      Williams County, ND

48820           Willmar, MN Micropolitan Statistical Area
48820   27067      Kandiyohi County, MN

48940           Wilmington, OH Micropolitan Statistical Area
48940   39027      Clinton County, OH

48980           Wilson, NC Micropolitan Statistical Area
48980   37195      Wilson County, NC

49060           Winfield, KS Micropolitan Statistical Area
49060   20035      Cowley County, KS

49100           Winona, MN Micropolitan Statistical Area
49100   27169      Winona County, MN

49260           Woodward, OK Micropolitan Statistical Area
49260   40153      Woodward County, OK

49300           Wooster, OH Micropolitan Statistical Area
49300   39169      Wayne County, OH

49380           Worthington, MN Micropolitan Statistical Area
49380   27105      Nobles County, MN

49460           Yankton, SD Micropolitan Statistical Area
49460   46135      Yankton County, SD

49540           Yazoo City, MS Micropolitan Statistical Area
49540   28163      Yazoo County, MS

49780           Zanesville, OH Micropolitan Statistical Area
49780   39119      Muskingum County, OH




