Date	1.Year.CMT	3.Year.CMT	5.Year.CMT	3.Month.TBill	6.Month.TBill	6.Month.CD
3/16/2007 	4.93 	4.50 	4.46 	4.97 	4.92 	5.28
3/23/2007 	4.93 	4.51 	4.48 	4.93 	4.91 	5.29
3/30/2007 	4.90 	4.51 	4.51 	4.93 	4.88 	5.29
4/6/2007 	4.94 	4.58 	4.58 	4.91 	4.87 	5.30
4/13/2007 	4.97 	4.67 	4.66 	4.88 	4.89 	5.32
4/20/2007 	4.93 	4.60 	4.60 	4.87 	4.87 	5.31
4/27/2007 	4.90 	4.57 	4.56 	4.84 	4.84 	5.31
5/4/2007 	4.90 	4.58 	4.55 	4.79 	4.82 	5.31
5/11/2007 	4.89 	4.60 	4.56 	4.76 	4.82 	5.31
5/18/2007 	4.86 	4.69 	4.66 	4.73 	4.74 	5.32
5/25/2007 	4.95 	4.78 	4.77 	4.78 	4.81 	5.33
6/1/2007 	4.96 	4.88 	4.86 	4.78 	4.81 	5.34
6/8/2007 	4.98 	4.98 	4.98 	4.71 	4.79 	5.35
6/15/2007 	4.98 	5.09 	5.13 	4.64 	4.77 	5.36
6/22/2007 	4.95 	5.00 	5.04 	4.49 	4.72 	5.36
6/29/2007 	4.94 	4.93 	4.97 	4.69 	4.81 	5.35
7/6/2007 	4.99 	4.95 	5.00 	4.79 	4.81 	5.35
7/13/2007 	5.00 	4.94 	5.00 	4.82 	4.85 	5.35
7/20/2007 	4.99 	4.87 	4.93 	4.84 	4.87 	5.34
7/27/2007 	4.91 	4.68 	4.74 	4.89 	4.89 	5.33
8/3/2007 	4.83 	4.53 	4.60 	4.83 	4.80 	5.32
8/10/2007 	4.78 	4.53 	4.60 	4.77 	4.73 	5.35
8/17/2007 	4.44 	4.32 	4.42 	4.63 	4.71 	5.40
8/24/2007 	4.16 	4.21 	4.34 	2.85 	3.95 	5.38
8/31/2007 	4.30 	4.18 	4.28 	4.60 	4.59 	5.50
9/7/2007 	4.27 	4.06 	4.16 	4.35 	4.38 	5.54
9/14/2007 	4.15 	4.01 	4.12 	3.80 	4.02 	5.49
9/21/2007 	4.11 	4.11 	4.25 	4.05 	4.13 	5.21
9/28/2007 	4.05 	4.07 	4.26 	3.82 	4.00 	5.12
10/5/2007 	4.12 	4.07 	4.25 	3.84 	4.00 	5.16
10/12/2007 	4.24 	4.22 	4.38 	3.93 	4.10 	5.19
10/19/2007 	4.14 	4.06 	4.23 	4.19 	4.23 	5.04
10/26/2007 	3.97 	3.82 	4.04 	3.90 	3.99 	4.81
11/2/2007 	3.93 	3.82 	4.04 	3.92 	3.95 	4.75
11/9/2007 	3.72 	3.59 	3.89 	3.55 	3.78 	4.82
11/16/2007 	3.58 	3.43 	3.77 	3.43 	3.63 	4.80
11/23/2007 	3.30 	3.11 	3.48 	3.39 	3.46 	4.88
11/30/2007 	3.25 	3.08 	3.39 	3.18 	3.34 	4.93
12/7/2007 	3.17 	2.99 	3.35 	3.03 	3.19 	4.94
12/14/2007 	3.20 	3.17 	3.49 	3.00 	3.19 	4.90
12/21/2007 	3.28 	3.17 	3.52 	3.00 	3.28 	4.82
12/28/2007 	3.42 	3.23 	3.63 	3.28 	3.49 	4.74
1/4/2008 	3.18 	2.89 	3.29 	3.31 	3.39 	4.52
1/11/2008 	3.04 	2.71 	3.13 	3.18 	3.17 	4.15
1/18/2008 	2.83 	2.51 	2.97 	3.08 	2.95 	3.73
1/25/2008 	2.31 	2.21 	2.74 	2.37 	2.40 	3.17
2/1/2008 	2.23 	2.31 	2.84 	2.34 	2.31 	3.06
2/8/2008 	2.08 	2.15 	2.72 	2.23 	2.16 	3.01
2/15/2008 	2.04 	2.13 	2.73 	2.25 	2.08 	2.98
2/22/2008 	2.10 	2.30 	2.89 	2.20 	2.04 	3.00
2/29/2008 	1.98 	2.19 	2.80 	2.16 	2.07 	2.99
3/7/2008 	1.66 	1.83 	2.51 	1.79 	1.81 	2.82
3/14/2008 	1.52 	1.78 	2.47 	1.42 	1.45 	2.76
3/21/2008 	1.35 	1.66 	2.34 	1.10 	1.31 	2.49
3/28/2008 	1.60 	1.89 	2.58 	1.20 	1.55 	2.69
4/4/2008 	1.63 	1.97 	2.64 	1.44 	1.50 	2.74
4/11/2008 	1.63 	2.01 	2.66 	1.45 	1.60 	2.72
4/18/2008 	1.67 	2.18 	2.79 	1.06 	1.38 	2.85
4/25/2008 	1.88 	2.50 	3.05 	1.32 	1.68 	3.03
5/2/2008 	1.93 	2.56 	3.10 	1.42 	1.70 	2.94
5/9/2008 	1.94 	2.55 	3.07 	1.61 	1.74 	2.80
5/16/2008 	2.07 	2.69 	3.12 	1.80 	1.85 	2.86
5/23/2008 	2.09 	2.70 	3.12 	1.86 	1.89 	2.80
5/30/2008 	2.19 	2.91 	2.36 	1.87 	1.92 	3.09
6/6/2008 	2.14 	2.78 	3.26 	1.82 	1.95 	2.90
6/13/2008 	2.51 	3.22 	3.57 	1.85 	2.05 	3.12
6/20/2008 	2.57 	3.24 	3.64 	2.05 	2.35 	3.19
6/27/2008 	2.46 	3.08 	3.50 	1.86 	2.26 	3.15
7/4/2008 	2.35 	2.88 	3.32 	1.90 	2.14 	3.14
7/11/2008 	2.25 	2.77 	3.18 	1.87 	2.06 	3.10
7/18/2008 	2.21 	2.82 	3.26 	1.61 	1.96 	3.12
7/25/2008 	2.33 	3.01 	3.44 	1.52 	1.92 	3.15
8/1/2008 	2.30 	2.88 	3.31 	1.70 	1.88 	3.13
8/8/2008 	2.23 	2.80 	3.24 	1.71 	1.92 	3.11
8/15/2008 	2.18 	2.75 	3.18 	1.87 	2.02 	3.10
8/22/2008 	2.12 	2.62 	3.07 	1.85 	1.98 	3.11
8/29/2008 	2.17 	2.61 	3.06 	1.71 	1.93 	3.12
9/5/2008 	2.08 	2.46 	2.93 	1.69 	1.89 	3.12
9/12/2008 	2.05 	2.43 	2.92 	1.69 	1.90 	3.09
9/19/2008 	1.69 	2.10 	2.69 	1.05 	1.55 	4.12
9/26/2008 	1.95 	2.37 	3.02 	1.42 	1.79 	4.36
10/3/2008 	1.59 	2.03 	2.77 	1.10 	1.54 	4.96
10/10/2008 	1.24 	1.81 	2.63 	0.46 	1.10 	5.00
10/17/2008 	1.25 	1.94 	2.90 	0.50 	1.10 	4.75
10/24/2008 	1.66 	1.84 	2.64 	1.25 	1.80 	3.83
10/31/2008 	1.44 	1.82 	2.77 	0.90 	1.40 	3.57
11/7/2008 	1.24 	1.65 	2.56 	0.53 	1.10 	2.98
11/14/2008 	1.12 	1.63 	2.41 	0.36 	0.99 	2.83
11/21/2008 	0.96 	1.38 	2.12 	0.15 	0.84 	2.79
11/28/2008 	0.93 	1.40 	2.06 	0.15 	0.49 	2.68
12/5/2008 	0.69 	1.11 	1.63 	0.05 	0.43 	2.64
12/12/2008 	0.50 	1.16 	1.62 	0.01 	0.30 	2.41
12/19/2008 	0.45 	0.96 	1.36 	0.05 	0.27 	2.05
12/26/2008 	0.40 	1.12 	1.50 	0.04 	0.29 	1.80
1/2/2009 	0.37 	1.01 	1.55 	0.05 	0.25 	1.74
1/9/2009 	0.44 	1.12 	1.62 	0.15 	0.32 	1.57
1/16/2009 	0.43 	1.05 	1.42 	0.12 	0.29 	1.39
1/23/2009 	0.43 	1.11 	1.58 	0.14 	0.32 	1.57
1/30/2009 	0.49 	1.25 	1.74 	0.15 	0.35 	1.56
2/6/2009 	0.54 	1.38 	1.88 	0.27 	0.39 	1.76
2/13/2009 	0.60 	1.36 	1.83 	0.34 	0.48 	1.70
2/20/2009 	0.64 	1.31 	1.79 	0.33 	0.47 	1.78
2/27/2009 	0.72 	1.42 	1.97 	0.30 	0.50 	1.78
3/6/2009 	0.68 	1.33 	1.87 	0.28 	0.44 	1.82
3/13/2009 	0.70 	1.41 	1.93 	0.24 	0.46 	1.84
3/20/2009 	0.64 	1.28 	1.75 	0.25 	0.45 	1.75
3/27/2009 	0.59 	1.28 	1.76 	0.23 	0.39 	1.63
4/3/2009 	0.58 	1.22 	1.73 	0.20 	0.42 	1.69
4/10/2009 	0.60 	1.35 	1.88 	0.20 	0.40 	1.66
4/17/2009 	0.55 	1.27 	1.79 	0.18 	0.37 	1.49
4/24/2009 	0.52 	1.33 	1.89 	0.14 	0.33 	1.48
5/1/2009 	0.50 	1.37 	1.98 	0.14 	0.31 	1.40
5/8/2009 	0.53 	1.44 	2.09 	0.20 	0.33 	1.24
5/15/2009 	0.52 	1.32 	2.01 	0.19 	0.31 	1.15
5/22/2009 	0.47 	1.36 	2.13 	0.19 	0.30 	0.98
5/29/2009 	0.49 	1.47 	2.38 	0.18 	0.30 	0.67
6/5/2009 	0.50 	1.59 	2.58 	0.15 	0.29 	0.61
