METROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Metropolitan statistical areas and metropolitan divisions defined by the Office of Management and Budget, November 2007)
28700           51191         Washington County, VA
28700           51520         Bristol city, VA

28740                   Kingston, NY Metropolitan Statistical Area
28740           36111         Ulster County, NY

28940                   Knoxville, TN Metropolitan Statistical Area
28940           47001         Anderson County, TN
28940           47009         Blount County, TN
28940           47093         Knox County, TN
28940           47105         Loudon County, TN
28940           47173         Union County, TN

29020                   Kokomo, IN Metropolitan Statistical Area
29020           18067         Howard County, IN
29020           18159         Tipton County, IN

29100                   La Crosse, WI-MN Metropolitan Statistical Area
29100           27055         Houston County, MN
29100           55063         La Crosse County, WI

29140                   Lafayette, IN Metropolitan Statistical Area
29140           18007         Benton County, IN
29140           18015         Carroll County, IN
29140           18157         Tippecanoe County, IN

29180                   Lafayette, LA Metropolitan Statistical Area
29180           22055         Lafayette Parish, LA
29180           22099         St. Martin Parish, LA

29340                   Lake Charles, LA Metropolitan Statistical Area
29340           22019         Calcasieu Parish, LA
29340           22023         Cameron Parish, LA

29420                   Lake Havasu City-Kingman, AZ Metropolitan Statistical Area
29420           04015         Mohave County, AZ

29460                   Lakeland-Winter Haven, FL Metropolitan Statistical Area
29460           12105         Polk County, FL

29540                   Lancaster, PA Metropolitan Statistical Area
29540           42071         Lancaster County, PA

29620                   Lansing-East Lansing, MI Metropolitan Statistical Area
29620           26037         Clinton County, MI
29620           26045         Eaton County, MI
29620           26065         Ingham County, MI

29700                   Laredo, TX Metropolitan Statistical Area
29700           48479         Webb County, TX

29740                   Las Cruces, NM Metropolitan Statistical Area
29740           35013         Dona Ana County, NM

29820                   Las Vegas-Paradise, NV Metropolitan Statistical Area
29820           32003         Clark County, NV

29940                   Lawrence, KS Metropolitan Statistical Area
29940           20045         Douglas County, KS

30020                   Lawton, OK Metropolitan Statistical Area
30020           40031         Comanche County, OK

30140                   Lebanon, PA Metropolitan Statistical Area
30140           42075         Lebanon County, PA

30300                   Lewiston, ID-WA Metropolitan Statistical Area
30300           16069         Nez Perce County, ID
30300           53003         Asotin County, WA

30340                   Lewiston-Auburn, ME Metropolitan Statistical Area
30340           23001         Androscoggin County, ME

30460                   Lexington-Fayette, KY Metropolitan Statistical Area
30460           21017         Bourbon County, KY
30460           21049         Clark County, KY
30460           21067         Fayette County, KY
30460           21113         Jessamine County, KY
30460           21209         Scott County, KY
30460           21239         Woodford County, KY

30620                   Lima, OH Metropolitan Statistical Area
30620           39003         Allen County, OH

30700                   Lincoln, NE Metropolitan Statistical Area
30700           31109         Lancaster County, NE
30700           31159         Seward County, NE

30780                   Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area
30780           05045         Faulkner County, AR
30780           05053         Grant County, AR
30780           05085         Lonoke County, AR
30780           05105         Perry County, AR
30780           05119         Pulaski County, AR
30780           05125         Saline County, AR

30860                   Logan, UT-ID Metropolitan Statistical Area
30860           16041         Franklin County, ID
30860           49005         Cache County, UT

30980                   Longview, TX Metropolitan Statistical Area
30980           48183         Gregg County, TX
30980           48401         Rusk County, TX
30980           48459         Upshur County, TX

31020                   Longview, WA Metropolitan Statistical Area
31020           53015         Cowlitz County, WA

31100                   Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area
31100   31084              Los Angeles-Long Beach-Glendale, CA Metropolitan Division
31100   31084   06037         Los Angeles County, CA
31100   42044              Santa Ana-Anaheim-Irvine, CA Metropolitan Division
31100   42044   06059         Orange County, CA

31140                   Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
31140           18019         Clark County, IN
31140           18043         Floyd County, IN
31140           18061         Harrison County, IN
31140           18175         Washington County, IN
31140           21029         Bullitt County, KY
31140           21103         Henry County, KY
31140           21111         Jefferson County, KY
31140           21163         Meade County, KY
31140           21179         Nelson County, KY
31140           21185         Oldham County, KY
31140           21211         Shelby County, KY
31140           21215         Spencer County, KY
31140           21223         Trimble County, KY

31180                   Lubbock, TX Metropolitan Statistical Area
31180           48107         Crosby County, TX
31180           48303         Lubbock County, TX

31340                   Lynchburg, VA Metropolitan Statistical Area
31340           51009         Amherst County, VA
31340           51011         Appomattox County, VA
31340           51019         Bedford County, VA
31340           51031         Campbell County, VA
31340           51515         Bedford city, VA
31340           51680         Lynchburg city, VA

31420                   Macon, GA Metropolitan Statistical Area
31420           13021         Bibb County, GA
31420           13079         Crawford County, GA
31420           13169         Jones County, GA
31420           13207         Monroe County, GA
31420           13289         Twiggs County, GA

31460                   Madera, CA Metropolitan Statistical Area
31460           06039         Madera County, CA

31540                   Madison, WI Metropolitan Statistical Area
31540           55021         Columbia County, WI
31540           55025         Dane County, WI
31540           55049         Iowa County, WI

31700                   Manchester-Nashua, NH Metropolitan Statistical Area
31700           33011         Hillsborough County, NH

31900                   Mansfield, OH Metropolitan Statistical Area
31900           39139         Richland County, OH

32420                   Mayagüez, PR Metropolitan Statistical Area
32420           72067         Hormigueros Municipio, PR
32420           72097         Mayagüez Municipio, PR

32580                   McAllen-Edinburg-Mission, TX Metropolitan Statistical Area
32580           48215         Hidalgo County, TX

32780                   Medford, OR Metropolitan Statistical Area
32780           41029         Jackson County, OR

32820                   Memphis, TN-MS-AR Metropolitan Statistical Area
32820           05035         Crittenden County, AR
32820           28033         DeSoto County, MS
32820           28093         Marshall County, MS
32820           28137         Tate County, MS
32820           28143         Tunica County, MS
32820           47047         Fayette County, TN
32820           47157         Shelby County, TN
32820           47167         Tipton County, TN

32900                   Merced, CA Metropolitan Statistical Area
32900           06047         Merced County, CA

33100                   Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area
33100   22744              Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division
33100   22744   12011         Broward County, FL
33100   33124              Miami-Miami Beach-Kendall, FL Metropolitan Division
33100   33124   12086         Miami-Dade County, FL
33100   48424              West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division
33100   48424   12099         Palm Beach County, FL

33140                   Michigan City-La Porte, IN Metropolitan Statistical Area
33140           18091         LaPorte County, IN

33260                   Midland, TX Metropolitan Statistical Area
33260           48329         Midland County, TX

33340                   Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
33340           55079         Milwaukee County, WI
33340           55089         Ozaukee County, WI
33340           55131         Washington County, WI
33340           55133         Waukesha County, WI

33460                   Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
33460           27003         Anoka County, MN
33460           27019         Carver County, MN
33460           27025         Chisago County, MN
33460           27037         Dakota County, MN
33460           27053         Hennepin County, MN
33460           27059         Isanti County, MN
33460           27123         Ramsey County, MN
33460           27139         Scott County, MN
33460           27141         Sherburne County, MN
33460           27163         Washington County, MN
33460           27171         Wright County, MN
33460           55093         Pierce County, WI
33460           55109         St. Croix County, WI

33540                   Missoula, MT Metropolitan Statistical Area
33540           30063         Missoula County, MT

33660                   Mobile, AL Metropolitan Statistical Area
33660           01097         Mobile County, AL

33700                   Modesto, CA Metropolitan Statistical Area
33700           06099         Stanislaus County, CA

33740                   Monroe, LA Metropolitan Statistical Area
33740           22073         Ouachita Parish, LA
33740           22111         Union Parish, LA

33780                   Monroe, MI Metropolitan Statistical Area
33780           26115         Monroe County, MI

33860                   Montgomery, AL Metropolitan Statistical Area
33860           01001         Autauga County, AL
33860           01051         Elmore County, AL
33860           01085         Lowndes County, AL
33860           01101         Montgomery County, AL

34060                   Morgantown, WV Metropolitan Statistical Area
34060           54061         Monongalia County, WV
34060           54077         Preston County, WV

34100                   Morristown, TN Metropolitan Statistical Area
34100           47057         Grainger County, TN
34100           47063         Hamblen County, TN
34100           47089         Jefferson County, TN

34580                   Mount Vernon-Anacortes, WA Metropolitan Statistical Area
34580           53057         Skagit County, WA

34620                   Muncie, IN Metropolitan Statistical Area
34620           18035         Delaware County, IN

34740                   Muskegon-Norton Shores, MI Metropolitan Statistical Area
34740           26121         Muskegon County, MI

34820                   Myrtle Beach-North Myrtle Beach-Conway, SC Metropolitan Statistical Area
34820           45051         Horry County, SC

34900                   Napa, CA Metropolitan Statistical Area
34900           06055         Napa County, CA

34940                   Naples-Marco Island, FL Metropolitan Statistical Area
34940           12021         Collier County, FL

34980                   Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area
34980           47015         Cannon County, TN
34980           47021         Cheatham County, TN
34980           47037         Davidson County, TN
34980           47043         Dickson County, TN
34980           47081         Hickman County, TN
34980           47111         Macon County, TN
34980           47147         Robertson County, TN
34980           47149         Rutherford County, TN
34980           47159         Smith County, TN
34980           47165         Sumner County, TN
34980           47169         Trousdale County, TN
34980           47187         Williamson County, TN
34980           47189         Wilson County, TN

35300                   New Haven-Milford, CT Metropolitan Statistical Area
35300           09009         New Haven County, CT

35380                   New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area
35380           22051         Jefferson Parish, LA
35380           22071         Orleans Parish, LA
35380           22075         Plaquemines Parish, LA
35380           22087         St. Bernard Parish, LA
35380           22089         St. Charles Parish, LA
35380           22095         St. John the Baptist Parish, LA
35380           22103         St. Tammany Parish, LA

35620                   New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical Area
35620   20764              Edison-New Brunswick, NJ Metropolitan Division
35620   20764   34023         Middlesex County, NJ
35620   20764   34025         Monmouth County, NJ
35620   20764   34029         Ocean County, NJ
35620   20764   34035         Somerset County, NJ
35620   35004              Nassau-Suffolk, NY Metropolitan Division
35620   35004   36059         Nassau County, NY
35620   35004   36103         Suffolk County, NY 
35620   35644              New York-White Plains-Wayne, NY-NJ Metropolitan Division
35620   35644   34003         Bergen County, NJ
35620   35644   34017         Hudson County, NJ
35620   35644   34031         Passaic County, NJ
35620   35644   36005         Bronx County, NY
35620   35644   36047         Kings County, NY
35620   35644   36061         New York County, NY
35620   35644   36079         Putnam County, NY
35620   35644   36081         Queens County, NY
35620   35644   36085         Richmond County, NY
35620   35644   36087         Rockland County, NY
35620   35644   36119         Westchester County, NY
35620   35084              Newark-Union, NJ-PA Metropolitan Division
35620   35084   34013         Essex County, NJ
35620   35084   34019         Hunterdon County, NJ
35620   35084   34027         Morris County, NJ
35620   35084   34037         Sussex County, NJ
35620   35084   34039         Union County, NJ
35620   35084   42103         Pike County, PA

35660                   Niles-Benton Harbor, MI Metropolitan Statistical Area
35660           26021         Berrien County, MI

35980                   Norwich-New London, CT Metropolitan Statistical Area
35980           09011         New London County, CT

36100                   Ocala, FL Metropolitan Statistical Area
36100           12083         Marion County, FL

36140                   Ocean City, NJ Metropolitan Statistical Area
36140           34009         Cape May County, NJ

36220                   Odessa, TX Metropolitan Statistical Area
36220           48135         Ector County, TX

36260                   Ogden-Clearfield, UT Metropolitan Statistical Area
36260           49011         Davis County, UT
36260           49029         Morgan County, UT
36260           49057         Weber County, UT

36420                   Oklahoma City, OK Metropolitan Statistical Area
36420           40017         Canadian County, OK
36420           40027         Cleveland County, OK
36420           40051         Grady County, OK
36420           40081         Lincoln County, OK
36420           40083         Logan County, OK
36420           40087         McClain County, OK
36420           40109         Oklahoma County, OK

36500                   Olympia, WA Metropolitan Statistical Area
36500           53067         Thurston County, WA

36540                   Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
36540           19085         Harrison County, IA
36540           19129         Mills County, IA
36540           19155         Pottawattamie County, IA
36540           31025         Cass County, NE
36540           31055         Douglas County, NE
36540           31153         Sarpy County, NE
36540           31155         Saunders County, NE
36540           31177         Washington County, NE

36740                   Orlando-Kissimmee, FL Metropolitan Statistical Area
36740           12069         Lake County, FL
36740           12095         Orange County, FL
36740           12097         Osceola County, FL
36740           12117         Seminole County, FL

36780                   Oshkosh-Neenah, WI Metropolitan Statistical Area
36780           55139         Winnebago County, WI

36980                   Owensboro, KY Metropolitan Statistical Area
36980           21059         Daviess County, KY
36980           21091         Hancock County, KY
36980           21149         McLean County, KY

37100                   Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
37100           06111         Ventura County, CA

37340                   Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area
37340           12009         Brevard County, FL

37380                   Palm Coast, FL Metropolitan Statistical Area
37380           12035         Flagler County, FL

37460                   Panama City-Lynn Haven, FL Metropolitan Statistical Area
37460           12005         Bay County, FL

37620                   Parkersburg-Marietta-Vienna, WV-OH Metropolitan Statistical Area
37620           39167         Washington County, OH
37620           54073         Pleasants County, WV
37620           54105         Wirt County, WV
37620           54107         Wood County, WV

37700                   Pascagoula, MS Metropolitan Statistical Area
37700           28039         George County, MS
37700           28059         Jackson County, MS

37860                   Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
37860           12033         Escambia County, FL
37860           12113         Santa Rosa County, FL

37900                   Peoria, IL Metropolitan Statistical Area
37900           17123         Marshall County, IL
37900           17143         Peoria County, IL
37900           17175         Stark County, IL
37900           17179         Tazewell County, IL
37900           17203         Woodford County, IL

37980                   Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
37980   15804              Camden, NJ Metropolitan Division
37980   15804   34005         Burlington County, NJ
37980   15804   34007         Camden County, NJ
37980   15804   34015         Gloucester County, NJ
37980   37964              Philadelphia, PA Metropolitan Division
37980   37964   42017         Bucks County, PA
37980   37964   42029         Chester County, PA
37980   37964   42045         Delaware County, PA
37980   37964   42091         Montgomery County, PA
37980   37964   42101         Philadelphia County, PA
37980   48864              Wilmington, DE-MD-NJ Metropolitan Division
37980   48864   10003         New Castle County, DE
37980   48864   24015         Cecil County, MD
37980   48864   34033         Salem County, NJ

38060                   Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
38060           04013         Maricopa County, AZ
38060           04021         Pinal County, AZ

38220                   Pine Bluff, AR Metropolitan Statistical Area
38220           05025         Cleveland County, AR
38220           05069         Jefferson County, AR
38220           05079         Lincoln County, AR

38300                   Pittsburgh, PA Metropolitan Statistical Area
38300           42003         Allegheny County, PA
38300           42005         Armstrong County, PA
38300           42007         Beaver County, PA
38300           42019         Butler County, PA
38300           42051         Fayette County, PA
38300           42125         Washington County, PA
38300           42129         Westmoreland County, PA

38340                   Pittsfield, MA Metropolitan Statistical Area
38340           25003         Berkshire County, MA

38540                   Pocatello, ID Metropolitan Statistical Area
38540           16005         Bannock County, ID
38540           16077         Power County, ID

38660                   Ponce, PR Metropolitan Statistical Area
38660           72075         Juana Díaz Municipio, PR
38660           72113         Ponce Municipio, PR
38660           72149         Villalba Municipio, PR

38860                   Portland-South Portland-Biddeford, ME Metropolitan Statistical Area
38860           23005         Cumberland County, ME
38860           23023         Sagadahoc County, ME
38860           23031         York County, ME

38900                   Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area
38900           41005         Clackamas County, OR
38900           41009         Columbia County, OR
38900           41051         Multnomah County, OR
38900           41067         Washington County, OR
38900           41071         Yamhill County, OR
38900           53011         Clark County, WA
38900           53059         Skamania County, WA

38940                   Port St. Lucie, FL Metropolitan Statistical Area
38940           12085         Martin County, FL
38940           12111         St. Lucie County, FL

39100                   Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area
39100           36027         Dutchess County, NY
39100           36071         Orange County, NY

39140                   Prescott, AZ Metropolitan Statistical Area
39140           04025         Yavapai County, AZ

39300                   Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area
39300           25005         Bristol County, MA
39300           44001         Bristol County, RI
39300           44003         Kent County, RI
39300           44005         Newport County, RI
39300           44007         Providence County, RI
39300           44009         Washington County, RI

39340                   Provo-Orem, UT Metropolitan Statistical Area
39340           49023         Juab County, UT
39340           49049         Utah County, UT

39380                   Pueblo, CO Metropolitan Statistical Area
39380           08101         Pueblo County, CO

39460                   Punta Gorda, FL Metropolitan Statistical Area
39460           12015         Charlotte County, FL

39540                   Racine, WI Metropolitan Statistical Area
39540           55101         Racine County, WI

39580                   Raleigh-Cary, NC Metropolitan Statistical Area
39580           37069         Franklin County, NC
39580           37101         Johnston County, NC
39580           37183         Wake County, NC

39660                   Rapid City, SD Metropolitan Statistical Area
39660           46093         Meade County, SD
39660           46103         Pennington County, SD

39740                   Reading, PA Metropolitan Statistical Area
39740           42011         Berks County, PA

39820                   Redding, CA Metropolitan Statistical Area
39820           06089         Shasta County, CA

39900                   Reno-Sparks, NV Metropolitan Statistical Area
39900           32029         Storey County, NV
39900           32031         Washoe County, NV

40060                   Richmond, VA Metropolitan Statistical Area
40060           51007         Amelia County, VA
40060           51033         Caroline County, VA
40060           51036         Charles City County, VA
40060           51041         Chesterfield County, VA
40060           51049         Cumberland County, VA
40060           51053         Dinwiddie County, VA
40060           51075         Goochland County, VA
40060           51085         Hanover County, VA
40060           51087         Henrico County, VA
40060           51097         King and Queen County, VA
40060           51101         King William County, VA
40060           51109         Louisa County, VA
40060           51127         New Kent County, VA
40060           51145         Powhatan County, VA
40060           51149         Prince George County, VA
40060           51183         Sussex County, VA
40060           51570         Colonial Heights city, VA
40060           51670         Hopewell city, VA
40060           51730         Petersburg city, VA
40060           51760         Richmond city, VA

40140                   Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
40140           06065         Riverside County, CA
40140           06071         San Bernardino County, CA

40220                   Roanoke, VA Metropolitan Statistical Area
40220           51023         Botetourt County, VA
40220           51045         Craig County, VA
40220           51067         Franklin County, VA
40220           51161         Roanoke County, VA
40220           51770         Roanoke city, VA
40220           51775         Salem city, VA

40340                   Rochester, MN Metropolitan Statistical Area
40340           27039         Dodge County, MN
40340           27109         Olmsted County, MN
40340           27157         Wabasha County, MN

40380                   Rochester, NY Metropolitan Statistical Area
40380           36051         Livingston County, NY
40380           36055         Monroe County, NY
40380           36069         Ontario County, NY
40380           36073         Orleans County, NY
40380           36117         Wayne County, NY

40420                   Rockford, IL Metropolitan Statistical Area
40420           17007         Boone County, IL
40420           17201         Winnebago County, IL

40580                   Rocky Mount, NC Metropolitan Statistical Area
40580           37065         Edgecombe County, NC
40580           37127         Nash County, NC

40660                   Rome, GA Metropolitan Statistical Area
40660           13115         Floyd County, GA

40900                   Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area
40900           06017         El Dorado County, CA
40900           06061         Placer County, CA
40900           06067         Sacramento County, CA
40900           06113         Yolo County, CA

40980                   Saginaw-Saginaw Township North, MI Metropolitan Statistical Area
40980           26145         Saginaw County, MI

41060                   St. Cloud, MN Metropolitan Statistical Area
41060           27009         Benton County, MN
41060           27145         Stearns County, MN

41100                   St. George, UT Metropolitan Statistical Area
41100           49053         Washington County, UT

41140                   St. Joseph, MO-KS Metropolitan Statistical Area
41140           20043         Doniphan County, KS
41140           29003         Andrew County, MO
41140           29021         Buchanan County, MO
41140           29063         DeKalb County, MO

41180                   St. Louis, MO-IL Metropolitan Statistical Area
41180           17005         Bond County, IL
41180           17013         Calhoun County, IL
41180           17027         Clinton County, IL
41180           17083         Jersey County, IL
41180           17117         Macoupin County, IL
41180           17119         Madison County, IL
41180           17133         Monroe County, IL
41180           17163         St. Clair County, IL
41180           29055         Crawford County, MO (pt.)*
41180           29071         Franklin County, MO
41180           29099         Jefferson County, MO
41180           29113         Lincoln County, MO
41180           29183         St. Charles County, MO
41180           29189         St. Louis County, MO
41180           29219         Warren County, MO
41180           29221         Washington County, MO
41180           29510         St. Louis city, MO

41420                   Salem, OR Metropolitan Statistical Area
41420           41047         Marion County, OR
41420           41053         Polk County, OR

41500                   Salinas, CA Metropolitan Statistical Area
41500           06053         Monterey County, CA

41540                   Salisbury, MD Metropolitan Statistical Area
41540           24039         Somerset County, MD
41540           24045         Wicomico County, MD

41620                   Salt Lake City, UT Metropolitan Statistical Area
41620           49035         Salt Lake County, UT
41620           49043         Summit County, UT
41620           49045         Tooele County, UT

41660                   San Angelo, TX Metropolitan Statistical Area
41660           48235         Irion County, TX
41660           48451         Tom Green County, TX

41700                   San Antonio, TX Metropolitan Statistical Area
41700           48013         Atascosa County, TX
41700           48019         Bandera County, TX
41700           48029         Bexar County, TX
41700           48091         Comal County, TX
41700           48187         Guadalupe County, TX
41700           48259         Kendall County, TX
41700           48325         Medina County, TX
41700           48493         Wilson County, TX

41740                   San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area
41740           06073         San Diego County, CA

41780                   Sandusky, OH Metropolitan Statistical Area
41780           39043         Erie County, OH

41860                   San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area
41860   36084              Oakland-Fremont-Hayward, CA Metropolitan Division
41860   36084   06001         Alameda County, CA
41860   36084   06013         Contra Costa County, CA
41860   41884              San Francisco-San Mateo-Redwood City, CA Metropolitan Division
41860   41884   06041         Marin County, CA
41860   41884   06075         San Francisco County, CA
41860   41884   06081         San Mateo County, CA

41900                   San Germán-Cabo Rojo, PR Metropolitan Statistical Area
41900           72023         Cabo Rojo Municipio, PR
41900           72079         Lajas Municipio, PR
41900           72121         Sabana Grande Municipio, PR
41900           72125         San Germán Municipio, PR

41940                   San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
41940           06069         San Benito County, CA
41940           06085         Santa Clara County, CA

41980                   San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area
41980           72007         Aguas Buenas Municipio, PR
41980           72009         Aibonito Municipio, PR
41980           72013         Arecibo Municipio, PR
41980           72017         Barceloneta Municipio, PR
41980           72019         Barranquitas Municipio, PR
41980           72021         Bayamón Municipio, PR
41980           72025         Caguas Municipio, PR
41980           72027         Camuy Municipio, PR
41980           72029         Canóvanas Municipio, PR
41980           72031         Carolina Municipio, PR
41980           72033         Cataño Municipio, PR
41980           72035         Cayey Municipio, PR
41980           72039         Ciales Municipio, PR
41980           72041         Cidra Municipio, PR
41980           72045         Comerío Municipio, PR
41980           72047         Corozal Municipio, PR
41980           72051         Dorado Municipio, PR
41980           72054         Florida Municipio, PR
41980           72061         Guaynabo Municipio, PR
41980           72063         Gurabo Municipio, PR
41980           72065         Hatillo Municipio, PR
41980           72069         Humacao Municipio, PR
41980           72077         Juncos Municipio, PR
41980           72085         Las Piedras Municipio, PR
41980           72087         Loíza Municipio, PR
41980           72091         Manatí Municipio, PR
41980           72095         Maunabo Municipio, PR
41980           72101         Morovis Municipio, PR
41980           72103         Naguabo Municipio, PR
41980           72105         Naranjito Municipio, PR
41980           72107         Orocovis Municipio, PR
41980           72115         Quebradillas Municipio, PR
41980           72119         Río Grande Municipio, PR
41980           72127         San Juan Municipio, PR
41980           72129         San Lorenzo Municipio, PR
41980           72135         Toa Alta Municipio, PR
41980           72137         Toa Baja Municipio, PR
41980           72139         Trujillo Alto Municipio, PR
41980           72143         Vega Alta Municipio, PR
41980           72145         Vega Baja Municipio, PR
41980           72151         Yabucoa Municipio, PR

42020                   San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area
42020           06079         San Luis Obispo County, CA

42060                   Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area
42060           06083         Santa Barbara County, CA

42100                   Santa Cruz-Watsonville, CA Metropolitan Statistical Area
42100           06087         Santa Cruz County, CA

42140                   Santa Fe, NM Metropolitan Statistical Area
42140           35049         Santa Fe County, NM

42220                   Santa Rosa-Petaluma, CA Metropolitan Statistical Area
42220           06097         Sonoma County, CA

42340                   Savannah, GA Metropolitan Statistical Area
42340           13029         Bryan County, GA
42340           13051         Chatham County, GA
42340           13103         Effingham County, GA

42540                   Scranton--Wilkes-Barre, PA Metropolitan Statistical Area
42540           42069         Lackawanna County, PA
42540           42079         Luzerne County, PA
42540           42131         Wyoming County, PA

42660                   Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
42660   42644              Seattle-Bellevue-Everett, WA Metropolitan Division
42660   42644   53033         King County, WA
42660   42644   53061         Snohomish County, WA
42660   45104              Tacoma, WA Metropolitan Division
42660   45104   53053         Pierce County, WA

42680                   Sebastian-Vero Beach, FL Metropolitan Statistical Area
42680           12061         Indian River County, FL

43100                   Sheboygan, WI Metropolitan Statistical Area
43100           55117         Sheboygan County, WI

43300                   Sherman-Denison, TX Metropolitan Statistical Area
43300           48181         Grayson County, TX

43340                   Shreveport-Bossier City, LA Metropolitan Statistical Area
43340           22015         Bossier Parish, LA
43340           22017         Caddo Parish, LA
43340           22031         De Soto Parish, LA

43580                   Sioux City, IA-NE-SD Metropolitan Statistical Area
43580           19193         Woodbury County, IA
43580           31043         Dakota County, NE
43580           31051         Dixon County, NE
43580           46127         Union County, SD

43620                   Sioux Falls, SD Metropolitan Statistical Area
43620           46083         Lincoln County, SD
43620           46087         McCook County, SD
43620           46099         Minnehaha County, SD
43620           46125         Turner County, SD

43780                   South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
43780           18141         St. Joseph County, IN
43780           26027         Cass County, MI

43900                   Spartanburg, SC Metropolitan Statistical Area
43900           45083         Spartanburg County, SC

44060                   Spokane, WA Metropolitan Statistical Area
44060           53063         Spokane County, WA

44100                   Springfield, IL Metropolitan Statistical Area
44100           17129         Menard County, IL
44100           17167         Sangamon County, IL

44140                   Springfield, MA Metropolitan Statistical Area
44140           25011         Franklin County, MA
44140           25013         Hampden County, MA
44140           25015         Hampshire County, MA

44180                   Springfield, MO Metropolitan Statistical Area
44180           29043         Christian County, MO
44180           29059         Dallas County, MO
44180           29077         Greene County, MO
44180           29167         Polk County, MO
44180           29225         Webster County, MO

44220                   Springfield, OH Metropolitan Statistical Area
44220           39023         Clark County, OH

44300                   State College, PA Metropolitan Statistical Area
44300           42027         Centre County, PA

44700                   Stockton, CA Metropolitan Statistical Area
44700           06077         San Joaquin County, CA

44940                   Sumter, SC Metropolitan Statistical Area
44940           45085         Sumter County, SC

45060                   Syracuse, NY Metropolitan Statistical Area
45060           36053         Madison County, NY
45060           36067         Onondaga County, NY
45060           36075         Oswego County, NY

45220                   Tallahassee, FL Metropolitan Statistical Area
45220           12039         Gadsden County, FL
45220           12065         Jefferson County, FL
45220           12073         Leon County, FL
45220           12129         Wakulla County, FL

45300                   Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
45300           12053         Hernando County, FL
45300           12057         Hillsborough County, FL
45300           12101         Pasco County, FL
45300           12103         Pinellas County, FL

45460                   Terre Haute, IN Metropolitan Statistical Area
45460           18021         Clay County, IN
45460           18153         Sullivan County, IN
45460           18165         Vermillion County, IN
45460           18167         Vigo County, IN

45500                   Texarkana, TX-Texarkana, AR Metropolitan Statistical Area
45500           05091         Miller County, AR
45500           48037         Bowie County, TX

45780                   Toledo, OH Metropolitan Statistical Area
45780           39051         Fulton County, OH
45780           39095         Lucas County, OH
45780           39123         Ottawa County, OH
45780           39173         Wood County, OH

45820                   Topeka, KS Metropolitan Statistical Area
45820           20085         Jackson County, KS
45820           20087         Jefferson County, KS
45820           20139         Osage County, KS
45820           20177         Shawnee County, KS
45820           20197         Wabaunsee County, KS

45940                   Trenton-Ewing, NJ Metropolitan Statistical Area
45940           34021         Mercer County, NJ

46060                   Tucson, AZ Metropolitan Statistical Area
46060           04019         Pima County, AZ

46140                   Tulsa, OK Metropolitan Statistical Area
46140           40037         Creek County, OK
46140           40111         Okmulgee County, OK
46140           40113         Osage County, OK
46140           40117         Pawnee County, OK
46140           40131         Rogers County, OK
46140           40143         Tulsa County, OK
46140           40145         Wagoner County, OK

46220                   Tuscaloosa, AL Metropolitan Statistical Area
46220           01063         Greene County, AL
46220           01065         Hale County, AL
46220           01125         Tuscaloosa County, AL

46340                   Tyler, TX Metropolitan Statistical Area
46340           48423         Smith County, TX

46540                   Utica-Rome, NY Metropolitan Statistical Area
46540           36043         Herkimer County, NY
